vietnamese,geometric_type2,geometric_type1,command,gmbl
vuông_góc,,,,perp
song_song,,,,para
đồng_dạng,,,,sim-tri
bằng,,,,cong
trung_điểm,,,define,midp
đi,,,param,through
trung_trực,,,define,perp-bis
tâm,,circle,param,origin
tâm,triangle,point,define,circumcenter
trọng_tâm,,,define,centroid
trực_tâm,,,define,orthocenter
đường_kính,,,define,diam
ngoại_tiếp,,,define,circumcircle
nội_tiếp,,,define,incircle
thuộc,line,,param,on-line
thuộc,circle,,param,on-circ
thuộc,ray,,param,on-ray
thuộc,segment,,param,on-seg
nằm,line,,param,on-line
nằm,circle,,param,on-circ
nằm,ray,,param,on-ray
nằm,segment,,param,on-seg
nằm,triangle,,param,in-poly
nằm,polygon,,param,in-poly
tiếp_xúc,circle,circle,param,tangent-cc
tiếp_xúc,line,circle,param,tangent-cl
tiếp_xúc,segment,circle,param,tangent-cl
tiếp_xúc,circle,line,param,tangent-lc
